State,Zone,Office,Zone_Name,Zone_ID,County_Name,countyfips,Region_Code,Region_Abbr,Lat,Long,state_fips,zone_fips
NM,201,ABQ,Northwest Plateau,NM201,McKinley,35031,M,nw,36.427,-108.4064,35,35201
NM,201,ABQ,Northwest Plateau,NM201,San Juan,35045,M,nw,36.427,-108.4064,35,35201
NM,202,ABQ,Chuska Mountains,NM202,McKinley,35031,M,nw,36.0409,-108.9296,35,35202
NM,202,ABQ,Chuska Mountains,NM202,San Juan,35045,M,nw,36.0409,-108.9296,35,35202
NM,203,ABQ,Far Northwest Highlands,NM203,Rio Arriba,35039,M,nc,36.6585,-107.1028,35,35203
NM,203,ABQ,Far Northwest Highlands,NM203,Sandoval,35043,M,nc,36.6585,-107.1028,35,35203
NM,203,ABQ,Far Northwest Highlands,NM203,San Juan,35045,M,nc,36.6585,-107.1028,35,35203
NM,204,ABQ,Northwest Highlands,NM204,McKinley,35031,M,nc,36.0067,-107.5052,35,35204
NM,204,ABQ,Northwest Highlands,NM204,Rio Arriba,35039,M,nc,36.0067,-107.5052,35,35204
NM,204,ABQ,Northwest Highlands,NM204,Sandoval,35043,M,nc,36.0067,-107.5052,35,35204
NM,204,ABQ,Northwest Highlands,NM204,San Juan,35045,M,nc,36.0067,-107.5052,35,35204
NM,205,ABQ,West Central Plateau,NM205,Catron,35003,M,wc,35.0288,-108.817,35,35205
NM,205,ABQ,West Central Plateau,NM205,Cibola,35006,M,wc,35.0288,-108.817,35,35205
NM,205,ABQ,West Central Plateau,NM205,McKinley,35031,M,wc,35.0288,-108.817,35,35205
NM,206,ABQ,West Central Mountains,NM206,Catron,35003,M,nc,35.0709,-108.0574,35,35206
NM,206,ABQ,West Central Mountains,NM206,Cibola,35006,M,nc,35.0709,-108.0574,35,35206
NM,206,ABQ,West Central Mountains,NM206,McKinley,35031,M,nc,35.0709,-108.0574,35,35206
NM,206,ABQ,West Central Mountains,NM206,Sandoval,35043,M,nc,35.0709,-108.0574,35,35206
NM,206,ABQ,West Central Mountains,NM206,Socorro,35053,M,nc,35.0709,-108.0574,35,35206
NM,207,ABQ,West Central Highlands,NM207,Bernalillo,35001,M,nc,34.9677,-107.3538,35,35207
NM,207,ABQ,West Central Highlands,NM207,Cibola,35006,M,nc,34.9677,-107.3538,35,35207
NM,207,ABQ,West Central Highlands,NM207,McKinley,35031,M,nc,34.9677,-107.3538,35,35207
NM,207,ABQ,West Central Highlands,NM207,Sandoval,35043,M,nc,34.9677,-107.3538,35,35207
NM,207,ABQ,West Central Highlands,NM207,Socorro,35053,M,nc,34.9677,-107.3538,35,35207
NM,207,ABQ,West Central Highlands,NM207,Valencia,35061,M,nc,34.9677,-107.3538,35,35207
NM,208,ABQ,Southwest Mountains,NM208,Catron,35003,M,cc,33.8571,-108.317,35,35208
NM,208,ABQ,Southwest Mountains,NM208,Socorro,35053,M,cc,33.8571,-108.317,35,35208
NM,209,ABQ,San Francisco River Valley,NM209,Catron,35003,M,wc,33.509,-108.8601,35,35209
NM,210,ABQ,Tusas Mountains Including Chama,NM210,Rio Arriba,35039,M,nc,36.7058,-106.2539,35,35210
NM,210,ABQ,Tusas Mountains Including Chama,NM210,Taos,35055,M,nc,36.7058,-106.2539,35,35210
NM,211,ABQ,Jemez Mountains,NM211,Los Alamos,35028,M,nc,35.9021,-106.5974,35,35211
NM,211,ABQ,Jemez Mountains,NM211,Rio Arriba,35039,M,nc,35.9021,-106.5974,35,35211
NM,211,ABQ,Jemez Mountains,NM211,Sandoval,35043,M,nc,35.9021,-106.5974,35,35211
NM,212,ABQ,Glorieta Mesa Including Glorieta Pass,NM212,San Miguel,35047,M,nc,35.516,-105.694,35,35212
NM,212,ABQ,Glorieta Mesa Including Glorieta Pass,NM212,Santa Fe,35049,M,nc,35.516,-105.694,35,35212
NM,213,ABQ,Northern Sangre de Cristo Mountains,NM213,Colfax,35007,M,ne,36.7161,-105.3905,35,35213
NM,213,ABQ,Northern Sangre de Cristo Mountains,NM213,Taos,35055,M,ne,36.7161,-105.3905,35,35213
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Colfax,35007,M,nc,35.9865,-105.5998,35,35214
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Mora,35033,M,nc,35.9865,-105.5998,35,35214
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Rio Arriba,35039,M,nc,35.9865,-105.5998,35,35214
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,San Miguel,35047,M,nc,35.9865,-105.5998,35,35214
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Santa Fe,35049,M,nc,35.9865,-105.5998,35,35214
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Taos,35055,M,nc,35.9865,-105.5998,35,35214
NM,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,Colfax,35007,M,ne,36.2296,-105.1554,35,35215
NM,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,Mora,35033,M,ne,36.2296,-105.1554,35,35215
NM,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,San Miguel,35047,M,ne,36.2296,-105.1554,35,35215
NM,216,ABQ,Upper Rio Grande Valley,NM216,Rio Arriba,35039,M,nc,36.6232,-105.7524,35,35216
NM,216,ABQ,Upper Rio Grande Valley,NM216,Taos,35055,M,nc,36.6232,-105.7524,35,35216
NM,217,ABQ,Espanola Valley,NM217,Rio Arriba,35039,M,nc,36.1335,-106.0931,35,35217
